Rank,Name,Invited By,Proofs,Cycles,Stars
#1,0x4f93...5efb,@DanHennessy,11,"265,894,249","44,458"
#2,@chencrypt,@nair_advaith,43,"6,339,305,197","20,899"
#3,@Delta_web3,@st__4r,25,"4,998,525,296","20,497"
#4,@stepaks576,@Ulaskurtuluss,20,"2,573,374,891","20,105"
#5,@fijimlk,@mattstam_eth,210,"25,737,891,888","19,988"
#6,@SaiMoo_n,@jtguibas,65,"2,120,082,215","17,522"
#7,@joesofth3art,@jtguibas,63,"7,397,909,606","17,223"
#8,@tabgnuh,@0xGameOfArt,48,"3,707,900,963","17,070"
#9,@shmula,-,387,"2,143,850,368","16,947"
#10,0x14c9...18d5,@mattstam_eth,23,"6,902,074,232","16,612"
#11,@nrlartt,@Seu3en,125,"3,181,268,701","16,431"
#12,@xDoB3Bw2DZKp4BS,@xxichampagne,58,"12,860,805,426","16,320"
#13,@paopaocheeks,@363Rakesh,99,"5,580,558,859","15,715"
#14,@ouyoung11,@Oxrazo7,39,"6,656,292,334","14,956"
#15,@saitama0x_,@narhem79,20,"3,354,731,652","14,831"
#16,@seamlese_man,@mattstam_eth,106,"8,846,441,907","14,762"
#17,@LienePryor,@raylo_babe143,80,"8,227,342,946","14,496"
#18,@degenmonik,@DanHennessy,77,"3,816,745,974","14,488"
#19,@AnNguyen0104955,@ChadFra98523943,55,"8,570,346,151","14,485"
#20,@pinkkbuny,-,47,"1,295,331,312","14,483"
#21,@Ho53903Ho,-,13,"1,372,614,196","14,480"
#22,@malta2888,@DanHennessy,78,"8,472,385,510","14,438"
#23,@melonmobster,@nair_advaith,36,"1,569,754,459","14,174"
#24,@asdqweokas,@kumanda56132042,60,"4,781,265,449","14,034"
#25,@Greta0086,@qpc6661,44,"7,247,687,094","14,032"
#26,0x40e9...007a,@CryptoTvist,52,"6,789,857,220","13,963"
#27,@zhouzhou840338,@nair_advaith,104,"8,797,636,881","13,901"
#28,@ruztamov,-,100,"708,474,712","13,842"
#29,@hinoryucrypto,@cryptokeeper8,79,"5,532,189,469","13,830"
#30,@nadaeseternooo_,-,48,"6,145,574,780","13,764"
#31,@whyronni,@plumpymageio,103,"8,202,279,127","13,709"
#32,@pepenclaw,@zkzoomer,34,"2,068,534,781","13,707"
#33,@kiyo_crypt,@KozlowskiPauloX,28,"6,246,608,038","13,633"
#34,@dmitriy_gggg,@zkzoomer,69,"15,312,776,697","13,607"
